# GO:0001070
# GO:0003674
# GO:0140110
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0005515
# GO:0003674
# GO:0005488
# GO:0010801
# GO:0031324
# GO:0051246
# GO:0031400
# GO:0001932
# GO:0001933
# GO:0048519
# GO:0010605
# GO:0010799
# GO:0060255
# GO:0051172
# GO:0050794
# GO:0031323
# GO:0042325
# GO:0032268
# GO:0019222
# GO:0009892
# GO:0050789
# GO:0032269
# GO:0010563
# GO:0051174
# GO:0019220
# GO:0080090
# GO:0051248
# GO:0065007
# GO:0008150
# GO:0031399
# GO:0042326
# GO:0051171
# GO:0048523
# GO:0045936
# GO:0019904
# GO:0003674
# GO:0005515
# GO:0005488
# GO:0030332
# GO:0003674
# GO:0005515
# GO:0005488
# GO:0032968
# GO:0032784

GO:0051254
GO:0048518
GO:0009891
GO:0051173
GO:0006355
# GO:0051252
GO:0060255
GO:0031328
GO:0032786
GO:0045935
GO:0031325
GO:0010556
GO:0045893
GO:0050794
GO:0031323
GO:0006357
GO:0010604
GO:0048522
GO:0019222
GO:2000112
GO:2001141
GO:0019219
GO:0050789
GO:0045944
GO:0009893
GO:0010628
GO:0034243
GO:1903508
GO:0009889
GO:0010557
GO:0010468
GO:1902680
GO:0080090
GO:0065007
GO:0008150
GO:0031326
GO:1903506
GO:0051171
GO:0039525
GO:0008150
GO:0016032
GO:0051701
GO:0019048
GO:0044403
GO:0019054
GO:0051704
GO:0044003
GO:0044068
GO:0035821
GO:0051817
GO:0044419
GO:0042025
GO:0033647
GO:0005575
GO:0033643
GO:0044217
GO:0033646
GO:0033648
GO:0042025
GO:0033647
GO:0005575
GO:0033643
GO:0044217
GO:0033646
GO:0033648
GO:0042805
GO:0003674
GO:0005515
GO:0008092
GO:0005488
GO:0050434
GO:0043903
GO:0048518
GO:0065007
GO:0008150
GO:0046782
GO:0048524
GO:0043902
GO:0043900
GO:0050789
GO:0050792
GO:0050434
GO:0043903
GO:0048518
GO:0065007
GO:0008150
GO:0046782
GO:0048524
GO:0043902
GO:0043900
GO:0050789
GO:0050792
GO:0050434
GO:0043903
GO:0048518
GO:0065007
GO:0008150
GO:0046782
GO:0048524
GO:0043902
GO:0043900
GO:0050789
GO:0050792
GO:0050434
GO:0043903
GO:0048518
GO:0065007
GO:0008150
GO:0046782
GO:0048524
GO:0043902
GO:0043900
GO:0050789
GO:0050792
GO:1990970
GO:0070883
GO:0003676
GO:0005488
GO:0003674
GO:0003723
GO:0097159
GO:1901363
