AT2G40140 CZF1
AT3G03310 LCAT3
AT3G51030 TRX1
AT5G50790 SWEET10
AT5G52320 CYP96A4
AT1G09140 SR30
AT5G17240 SDG40
AT1G59810 AGL50
AT2G01750 MAP70-3
AT4G27040 VPS22
AT4G33030 SQD1
AT1G74920 ALDH10A8
AT1G54390 ING2
AT1G06130 GLX2-4
AT3G59550 SYN3
AT1G31580 ECS1
AT4G05180 PSBQ-2
AT5G21010 BPM5
AT3G21150 BBX32
AT3G01200 RP2
AT5G17030 UGT78D3
AT1G30230 eEF-1Bb1
AT1G71830 SERK1
AT4G08920 CRY1
AT1G62280 SLAH1
AT1G75330 OTC
AT1G07770 RPS15A
AT2G35320 EYA
AT3G29020 MYB110
AT5G15350 ENODL17
AT5G14000 NAC084
AT1G11840 GLX1
AT2G28000 CPN60A
AT4G31300 PBA1
AT5G11180 GLR2.6
AT1G61800 GPT2
AT5G10270 CDKC;1
AT5G35080 OS9
AT5G15970 KIN2
AT1G32270 ATSYP24
AT4G00460 ROPGEF3
AT2G41370 BOP2
AT1G17140 ICR1
AT1G28670 ARAB-1
AT5G43280 DCI1
AT5G43285 LURE1.1
AT1G62380 ACO2
AT4G36650 PBRP
AT3G47620 TCP14
AT5G40395 U6acat
AT1G32490 ESP3
AT5G40390 SIP1
AT1G35720 ANNAT1
AT1G64970 G-TMT
AT2G47430 CKI1
AT3G53200 MYB27
AT2G46740 GulLO5
AT1G67775 CLE8
AT1G67770 TEL2
AT4G37010 CEN2
AT2G02800 APK2B
AT1G02100 SBI1
AT1G23740 AOR
AT1G76150 ECH2
AT1G10910 EMB3103
AT4G02430 SR34b
AT1G29230 CIPK18
AT5G19040 IPT5
AT5G02770 MOS11
AT3G52150 PSRP2
AT5G13110 G6PD2
AT1G65730 YSL7
AT5G16540 ZFN3
AT5G03790 HB51
AT1G11350 SD1-13
AT1G60815 RALFL7
AT1G60810 ACLA-2
AT3G61890 HB-12
AT3G17650 YSL5
AT3G61897 MIR166b
AT1G14320 SAC52
AT2G27600 SKD1
AT3G16380 PAB6
AT2G14670 SUC8
AT3G48100 RR5
AT3G28030 UVH3
AT5G23740 RPS11-BETA
AT3G52080 chx28
AT1G15980 PnsB1
AT5G24770 VSP2
AT5G18020 SAUR20
AT4G18050 ABCB9
AT2G13370 CHR5
AT1G05600 EMB3101
AT2G15230 LIP1
AT1G02050 LAP6
AT3G16520 UGT88A1
AT1G66410 CAM4
AT4G11485 LCR11
AT4G01470 TIP1;3
AT3G63490 EMB3126
AT1G23540 PERK12
AT1G12980 ESR1
AT3G23120 RLP38
AT1G17800 ENODL22
AT1G13580 LAG13
AT3G46230 HSP17.4
AT5G60850 OBP4
AT1G54150 SPL2
AT3G01040 GAUT13
AT3G57260 BGL2
AT1G03090 MCCA
AT5G05680 MOS7
AT3G10160 DFC
AT1G78130 UNE2
AT5G07680 NAC080
AT2G33150 PKT3
AT1G80350 ERH3
AT5G06080 LBD33
AT2G45770 CPFTSY
AT5G07350 Tudor1
AT5G58220 TTL
AT1G70320 UPL2
AT1G23260 MMZ1
AT4G14790 ATSUV3
AT1G73670 MPK15
AT3G06060 TSC10A
AT2G26890 GRV2
AT1G55970 HAC4
AT1G70490 ARFA1D
AT2G39140 SVR1
AT2G28640 EXO70H5
AT1G76760 TY1
AT5G58910 LAC16
AT3G45780 PHOT1
AT3G08500 MYB83
AT1G01060 LHY
AT4G22710 CYP706A2
AT3G04420 NAC048
AT1G78490 CYP708A3
AT4G36490 SFH12
AT3G07880 SCN1
AT5G60440 AGL62
AT1G55490 CPN60B
AT5G61790 CNX1
AT1G63670 TRM12
AT1G75950 SKP1
AT1G55720 CAX6
AT2G47180 GolS1
AT5G20240 PI
AT4G32551 LUG
AT5G52510 SCL8
AT3G01900 CYP94B2
AT3G05480 RAD9
AT1G31280 AGO2
AT4G08480 MAPKKK9
AT1G76420 CUC3
AT2G36880 MAT3
AT4G29180 RHS16
AT5G44180 RLT2
AT4G31920 RR10
AT5G13750 ZIFL1
AT1G46408 AGL97
AT1G31420 FEI1
AT5G48375 TGG3
AT4G09990 GXM2
AT4G33200 XI-I
AT4G34250 KCS16
AT1G27950 LTPG1
AT4G04950 GRXS17
AT4G04955 ALN
AT4G05390 RFNR1
AT5G04530 KCS19
AT5G51350 MOL1
AT5G12080 MSL10
AT5G18620 CHR17
AT1G47750 PEX11A
AT1G73880 UGT89B1
AT4G39460 SAMC1
AT3G04370 PDLP4
AT5G11060 KNAT4
AT5G36950 DEG10
AT4G04040 MEE51
AT1G33060 NAC014
AT1G24793 LpxC1
AT2G45110 EXPB4
AT3G11410 PP2CA
AT1G25440 BBX15
AT1G14870 PCR2
AT5G49930 emb1441
AT5G46740 UBP21
AT1G66160 CMPG1
AT2G35510 SRO1
AT3G05020 ACP1
AT1G33390 FAS4
AT3G46030 HTB11
AT3G16857 RR1
AT1G48910 YUC10
AT3G46780 PTAC16
AT1G29910 CAB3
AT2G22250 AAT
AT1G62260 MEF9
AT1G62262 SLAH4
AT5G40740 AUG6
AT2G01960 TET14
AT3G50960 PLP3a
AT3G15880 WSIP2
AT1G17750 PEPR2
AT1G06140 MEF3
AT3G47780 ABCA7
AT5G43090 PUM13
AT5G07110 PRA1.B6
AT3G13100 ABCC7
AT3G12270 PRMT3
AT1G04050 SUVR1
AT5G42870 PAH2
AT1G10700 PRS3
AT5G02630 Cand6
AT5G38860 BIM3
AT5G27360 SFP2
AT1G08680 ZIGA4
AT4G38470 STY46
AT3G48310 CYP71A22
AT5G66850 MAPKKK5
AT3G61910 NAC066
AT1G05010 EFE
AT5G09400 KUP7
AT1G13420 ST4B
AT2G26140 ftsh4
AT5G24105 AGP41
AT1G26480 GRF12
AT1G02790 PGA4
AT4G14910 HISN5B
AT1G55120 FRUCT5
AT3G55120 TT5
AT2G21730 CAD2
AT2G31960 GSL03
AT4G16515 RGF6
AT2G23640 RTNLB13
AT3G58740 CSY1
AT2G16260 GR-RBP1
AT3G50510 LBD28
AT1G66200 GSR2
AT3G23710 Tic22-III
AT3G23715 SCRL13
AT2G25490 EBF1
AT5G06760 LEA4-5
AT3G57180 BPG2
AT1G03110 TRM82
AT3G47990 SIS3
AT5G20730 NPH4
AT3G01650 RGLG1
AT1G70510 KNAT2
AT5G53060 RCF3
AT2G38170 CAX1
AT2G24450 FLA3
AT2G30360 SIP4
AT5G11260 HY5
AT2G36400 GRF3
AT3G02350 GAUT9
AT4G30420 UMAMIT34
AT2G33470 GLTP1
AT1G07230 NPC1
AT2G26910 ABCG32
AT2G29720 CTF2B
AT2G31180 MYB14
AT1G36180 ACC2
AT1G14687 HB32
AT2G18328 RL4
AT2G30580 DRIP2
AT4G00830 LIF2
AT4G20900 MS5
AT2G32980 AUG2
AT1G68690 PERK9
AT2G05100 LHCB2.1
AT1G76320 FRS4
AT3G45060 NRT2.6
AT5G05770 WOX7
AT1G56330 SAR1B
AT2G41700 ABCA1
AT2G44550 GH9B10
AT2G19580 TET2
AT3G07960 PIP5K6
AT3G08710 TH9
AT1G72000 A/N-InvF
AT2G35980 YLS9
AT2G03720 MRH6
AT1G77630 LYM3
AT1G69560 MYB105
AT1G49880 Erv1
AT3G05520 CPA
AT1G48420 D-CDES
AT2G38910 CPK20
AT1G15880 GOS11
AT1G77980 AGL66
AT3G30340 UMAMIT32
AT1G02840 SR34
AT2G02450 LOV1
AT1G26960 AtHB23
AT1G63000 NRS/ER
AT1G63005 MIR399b
AT5G08020 RPA70B
AT1G10540 NAT8
AT1G34130 STT3B
AT4G06746 RAP2.9
AT2G02180 TOM3
AT1G70980 SYNC3
AT5G04470 SIM
AT3G27960 KLCR2
AT5G03690 FBA4
AT4G34190 SEP1
AT5G12290 DGS1
AT5G11920 cwINV6
AT3G21060 RBL
AT4G05210 LpxD1
AT4G11760 LCR17
AT5G09640 SCPL19
AT5G41260 BSK8
AT1G61570 TIM13
AT3G16770 EBP
AT3G11200 AL2
AT3G63060 EDL3
AT4G01820 ABCB3
AT4G19680 IRT2
AT4G00190 PME38
AT1G28960 NUDX15
AT2G18040 PIN1AT
AT5G42797 LCR28
AT5G42790 PAF1
AT2G40190 LEW3
AT4G16280 FCA
AT3G51910 HSFA7A
AT4G18760 RLP51
AT5G42240 scpl42
AT5G42242 LCR57
AT4G14070 AAE15
AT2G17800 ARAC1
AT1G18835 MIF3
AT2G21800 EME1A
AT1G54350 ABCD2
AT1G16470 PAB1
AT3G46590 TRFL1
AT5G43010 RPT4A
AT1G71380 CEL3
AT1G51680 4CL1
AT2G03440 NRP1
AT2G03445 MIR398a
AT4G13670 PTAC5
AT4G27830 BGLU10
AT1G57680 Cand1
AT1G79460 GA2
AT3G10660 CPK2
AT5G28540 BIP1
AT2G23980 CNGC6
AT1G50550 CYP705A26P
AT5G62250 MAP65-9
AT2G31340 emb1381
AT3G44530 HIRA
AT3G16890 PPR40
AT2G14960 GH3.1
AT3G48430 REF6
AT5G07190 ATS3
AT2G17700 STY8
AT4G25990 CIL
AT3G55620 eIF6A
AT1G04950 TAFII59
AT1G21360 GLTP2
AT5G23580 CDPK9
AT1G14290 SBH2
AT3G48290 CYP71A24
AT1G14740 TTA1
AT1G59540 ZCF125
AT1G05190 emb2394
AT5G27660 DEG14
AT2G30910 ARPC1A
AT1G01430 TBL25
AT1G06460 ACD32.1
AT3G63300 FKD1
AT4G22070 WRKY31
AT1G49710 FUT12
AT1G13210 ACA.l
AT2G26330 ER
AT5G24310 ABIL3
AT5G24314 PTAC7
AT1G44090 GA20OX5
AT1G59890 SNL5
AT4G29330 DER1
AT3G50700 IDD2
AT3G56620 UMAMIT10
AT1G30100 NCED5
AT4G04500 CRK37
AT5G54650 Fh5
AT1G69792 MIR395d
AT1G07260 UGT71C3
AT3G19860 bHLH121
AT3G01280 VDAC1
AT3G15150 HPY2
