ABCA4	HP:0000006;HP:0000007;HP:0000035;HP:0000135;HP:0000405;HP:0000407;HP:0000431;HP:0000463;HP:0000493;HP:0000501;HP:0000505;HP:0000510;HP:0000512;HP:0000518;HP:0000543;HP:0000548;HP:0000551;HP:0000563;HP:0000572;HP:0000580;HP:0000602;HP:0000603;HP:0000608;HP:0000610;HP:0000613;HP:0000618;HP:0000639;HP:0000648;HP:0000649;HP:0000662;HP:0000842;HP:0000987;HP:0001133;HP:0001249;HP:0001347;HP:0001513;HP:0003621;HP:0005978;HP:0007663;HP:0007675;HP:0007703;HP:0007704;HP:0007722;HP:0007737;HP:0007814;HP:0007843;HP:0007984;HP:0007994;HP:0008002;HP:0008035;HP:0008046;HP:0008059;HP:0008736;HP:0011462;HP:0011463;HP:0011504;HP:0030329;HP:0030500
ABCA5	HP:0000007;HP:0000169;HP:0000212;HP:0000280;HP:0000286;HP:0000414;HP:0000494;HP:0000574;HP:0000664;HP:0000684;HP:0000998;HP:0001007;HP:0001250;HP:0001251;HP:0002230;HP:0002353;HP:0004540;HP:0009928;HP:0012810;HP:0100543
ABCA7	HP:0000006;HP:0000504;HP:0000657;HP:0000713;HP:0000716;HP:0000734;HP:0000738;HP:0001249;HP:0001250;HP:0001251;HP:0001276;HP:0001289;HP:0001300;HP:0001336;HP:0002071;HP:0002120;HP:0002185;HP:0002354;HP:0002381;HP:0002463;HP:0002511;HP:0003791;HP:0010525;HP:0010526;HP:0012433;HP:0030219;HP:0100256;HP:0410170
ABCB1	HP:0002037
ABCB11	HP:0000007;HP:0000716;HP:0000821;HP:0000952;HP:0000989;HP:0001046;HP:0001081;HP:0001082;HP:0001337;HP:0001394;HP:0001402;HP:0001406;HP:0001508;HP:0001518;HP:0001541;HP:0001622;HP:0001732;HP:0001744;HP:0002014;HP:0002027;HP:0002240;HP:0002630;HP:0002643;HP:0002904;HP:0002908;HP:0002910;HP:0003155;HP:0003593;HP:0003819;HP:0004322;HP:0012164;HP:0012202;HP:0012420;HP:0012689;HP:0030782;HP:0030900;HP:0031248;HP:0100602;HP:0100785
ABCB4	HP:0000006;HP:0000007;HP:0000716;HP:0000821;HP:0000952;HP:0000989;HP:0001081;HP:0001082;HP:0001337;HP:0001394;HP:0001395;HP:0001406;HP:0001408;HP:0001425;HP:0001518;HP:0001541;HP:0001622;HP:0001732;HP:0001733;HP:0001744;HP:0002014;HP:0002024;HP:0002027;HP:0002240;HP:0002643;HP:0002904;HP:0002910;HP:0003155;HP:0003593;HP:0006580;HP:0011980;HP:0012164;HP:0012202;HP:0012420;HP:0012689;HP:0025116;HP:0030151;HP:0030782;HP:0030900;HP:0031248;HP:0100602;HP:0100785;HP:0200148;HP:0200150
ABCB6	HP:0000006;HP:0000365;HP:0000568;HP:0000589;HP:0000822;HP:0000992;HP:0001034;HP:0001480;HP:0001923;HP:0002153;HP:0002378;HP:0003324;HP:0003394;HP:0003768;HP:0004322;HP:0004446;HP:0004802;HP:0005518;HP:0005590;HP:0007565;HP:0020073
ABCB7	HP:0000486;HP:0000639;HP:0001251;HP:0001252;HP:0001260;HP:0001263;HP:0001310;HP:0001347;HP:0001419;HP:0001511;HP:0001903;HP:0001924;HP:0001939;HP:0002075;HP:0002080;HP:0002167;HP:0002169;HP:0002470;HP:0002650;HP:0003487;HP:0003621;HP:0004840
ABCC1	HP:0000006;HP:0000407
ABCC2	HP:0000007;HP:0000952;HP:0001080;HP:0001928;HP:0001945;HP:0002027;HP:0002240;HP:0002908;HP:0004295;HP:0012086;HP:0012378
